수집된 시간,상품명,가격,시간,지역 정보
2024-11-30 05:00:25,새상품)정품 노스페이스 여성 눕시 숏패딩 모든사이즈 (크롭자켓),"279,000",AD,경기도 안산시 상록구 이동
2024-11-30 05:00:25,정품)새상품 폴로 여성용 꽈배기 라운드 케이블 니트,"69,800",AD,경기도 안산시 상록구 이동
2024-11-30 05:00:25,노스페이스 노벨티 화이트라벨 눕시 s,"330,000",4초 전,지역정보 없음
2024-11-30 05:00:25,"TASI 타시 A라인 원피스, leshop 르샵 점프슈트 원피스","30,000",5초 전,지역정보 없음
2024-11-30 05:00:25,(새제품) 폴로 보이즈 쿼터 집업 풀오버 스웻셔츠-XL (성인여성 66),"75,000",6초 전,지역정보 없음
2024-11-30 05:00:25,휘메일 풀스킨 나파 밍크코트 66~77사이즈 안감새것 드라이완료,"700,000",AD,경기도 고양시 일산서구 탄현동
2024-11-30 05:00:25,한섬 타임 캐시미어 울 홀가먼트 후드 니트 원피스 90F,"300,000",AD,지역정보 없음
2024-11-30 05:00:25,아디다스 유로파 블루 져지,"30,000",6초 전,지역정보 없음
2024-11-30 05:00:25,sjyp청치마,"50,000",7초 전,지역정보 없음
2024-11-30 05:00:25,(새상품) 캐시미어100% 차터클럽 크루넥 S(66) - 펄토프,"65,000",8초 전,지역정보 없음
2024-11-30 05:00:25,여성 휠라 덕다운패딩 M사이즈 c10279,"39,900",8초 전,지역정보 없음
2024-11-30 05:00:25,우단모피 블랙그라마 77사이즈 안감새것 드라이완료,"800,000",AD,경기도 고양시 일산서구 일산2동
2024-11-30 05:00:25,오드스튜디오 프린지 워싱 와이드 데님,"26,000",9초 전,지역정보 없음
2024-11-30 05:00:25,새상품)버버리 일본 숄카라 롱코트,"320,000",10초 전,지역정보 없음
2024-11-30 05:00:25,오픈와이와이 openyy 옴브레 마원 ombre ma1 카키,"275,000",10초 전,서울특별시 관악구 청림동
2024-11-30 05:00:25,"(새상품) 최화정 타미힐피거 티셔츠 네이비 스트라입 XS,S","43,000",10초 전,지역정보 없음
2024-11-30 05:00:26,노스페이스 눕시 크롭 라벤더,"270,000",AD,경기도 김포시 운양동
2024-11-30 05:00:26,어텀 아워딥데님 와이드팬츠,"22,000",11초 전,지역정보 없음
2024-11-30 05:00:26,팬콧 후드집업,"20,000",11초 전,지역정보 없음
2024-11-30 05:00:26,타임 니트 반팔 셔츠,"30,000",11초 전,지역정보 없음
2024-11-30 05:00:26,여성 지오송지오 덕다운패딩 105사이즈 c10118,"39,900",12초 전,지역정보 없음
2024-11-30 05:00:26,(남여공용)벨벳 보아털 두줄 밴딩팬츠 M-XL,"23,800",AD,지역정보 없음
2024-11-30 05:00:26,(새상품)바이씨니 노동니트 레드 프리사이즈,"27,000",13초 전,지역정보 없음
